<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.30	04:15:00	3316.30	3322.70	3314.83	3316.64	2063	0	5
2025.05.30	04:30:00	3316.64	3317.40	3310.50	3312.47	2348	0	5
2025.05.30	04:45:00	3312.47	3312.50	3308.18	3309.91	1811	0	5
2025.05.30	05:00:00	3309.91	3312.23	3302.62	3305.56	2074	0	5
2025.05.30	05:15:00	3305.56	3306.16	3299.60	3301.89	1961	0	5
2025.05.30	05:30:00	3301.89	3303.89	3298.65	3300.32	2134	0	0
2025.05.30	05:45:00	3300.32	3300.41	3295.06	3297.14	1792	0	4
2025.05.30	06:00:00	3297.30	3302.40	3296.22	3300.21	1747	0	5
2025.05.30	06:15:00	3300.45	3300.84	3296.83	3296.83	1362	0	5
2025.05.30	06:30:00	3296.83	3299.47	3293.57	3293.87	1336	0	5
2025.05.30	06:45:00	3293.82	3296.41	3291.33	3294.55	1494	0	5
2025.05.30	07:00:00	3294.55	3295.25	3292.14	3293.98	1073	0	5
2025.05.30	07:15:00	3293.98	3295.52	3293.53	3294.72	1016	0	5
2025.05.30	07:30:00	3294.72	3294.89	3291.50	3292.40	981	0	5
2025.05.30	07:45:00	3292.48	3296.47	3292.30	3296.29	900	0	5
2025.05.30	08:00:00	3296.29	3296.29	3290.28	3292.41	1334	0	5
2025.05.30	08:15:00	3292.41	3298.76	3291.45	3297.00	1336	0	5
2025.05.30	08:30:00	3296.95	3300.32	3296.83	3299.28	1657	0	5
2025.05.30	08:45:00	3299.28	3305.08	3297.72	3303.89	1636	0	0
2025.05.30	09:00:00	3303.89	3304.26	3291.59	3294.23	2189	0	6
2025.05.30	09:15:00	3294.23	3297.11	3290.55	3291.22	1874	0	5
2025.05.30	09:30:00	3291.15	3298.54	3291.02	3295.95	1725	0	5
2025.05.30	09:45:00	3295.95	3302.25	3294.59	3301.86	2001	0	5
2025.05.30	10:00:00	3301.82	3301.84	3287.53	3292.10	2765	0	5
2025.05.30	10:15:00	3292.11	3297.47	3290.54	3296.03	1997	0	3
2025.05.30	10:30:00	3295.98	3297.07	3292.69	3293.95	1660	0	5
2025.05.30	10:45:00	3293.95	3297.35	3293.86	3295.04	1941	0	5
2025.05.30	11:00:00	3295.02	3299.24	3291.76	3295.66	2243	0	5
2025.05.30	11:15:00	3295.66	3299.12	3294.76	3297.88	1750	0	5
